Points,Time
10,0
20,5e+006
30,1e+007
40,1e+007
50,1.1e+007
60,1.5e+007
70,1.6e+007
80,1.2e+007
90,3.1e+007
100,4.1e+007
110,5.8e+007
120,5.9e+007
130,3.6e+007
140,4e+007
150,4.9e+007
160,6.1e+007
170,4.5e+007
180,6.2e+007
190,7.5e+007
200,8.4e+007
210,9.5e+007
220,1.11e+008
230,1.03e+008
240,1.24e+008
250,8.9e+007
260,1.2e+008
270,1.49e+008
280,8e+007
290,9.4e+007
300,1.59e+008
310,1.15e+008
320,1.21e+008
330,1.82e+008
340,1.63e+008
350,1.8e+008
360,1.72e+008
370,2.36e+008
380,1.57e+008
390,1.78e+008
400,1.74e+008
410,1.82e+008
420,2.29e+008
430,1.75e+008
440,2.02e+008
450,1.62e+008
460,2.58e+008
470,1.63e+008
480,1.86e+008
490,2.01e+008
500,2.42e+008
