Degree,X,Result,Time
10,9.7,4.0682e+010,0
20,1.3,4105.93,8e+006
30,5.2,2.47885e+022,9e+006
40,6.3,7.08273e+032,8e+006
50,9.8,1.81256e+050,1.2e+007
60,9.5,3.38428e+059,8e+006
70,9.2,1.23775e+068,9e+006
80,7.7,8.11146e+070,1e+007
90,6.7,1.95033e+075,1.6e+007
100,3,1.59444e+048,1.2e+007
110,1.5,3.09136e+020,1.7e+007
120,3.8,3.06433e+070,1.7e+007
130,9,1.3809e+124,2.4e+007
140,3.8,1.00384e+081,1.8e+007
150,6.7,3.5892e+124,3.9e+007
160,3.2,5.58881e+081,1.7e+007
170,7.5,4.07455e+149,2.6e+007
180,3.3,1.51233e+094,2.8e+007
190,9.7,1.34127e+188,3.3e+007
200,5.8,1.59387e+153,3.3e+007
210,5.4,2.7584e+153,2.5e+007
220,4.8,4.54255e+150,4.3e+007
230,0.8,25.396,3e+007
240,4.7,6.626e+161,3.4e+007
250,1.3,6.74044e+029,5.4e+007
260,7.1,7.60634e+221,4.3e+007
270,7.1,5.7405e+230,2.8e+007
280,4.5,4.04979e+183,4.4e+007
290,4.6,1.17465e+193,3.9e+007
300,1.4,3.14926e+044,4.3e+007
310,5.6,5.76016e+232,4.2e+007
320,0.8,21.9034,5.8e+007
330,9.8,inf,5.8e+007
340,4.9,4.02759e+235,4.7e+007
350,3.8,9.45e+203,4.7e+007
360,4.2,9.95134e+224,5.8e+007
370,4.8,1.84017e+252,4.5e+007
380,7.6,inf,4.9e+007
390,4,6.1758e+235,5.6e+007
400,5.1,3.32033e+283,7.3e+007
410,8.5,inf,9.8e+007
420,0.8,34.7428,9.2e+007
430,0.3,10.0366,7.1e+007
440,7.8,inf,9.6e+007
450,5.6,inf,7.8e+007
460,3.1,5.53792e+226,6.6e+007
470,4.4,7.63124e+302,6.2e+007
480,5.4,inf,7.1e+007
490,2.7,1.17647e+212,7.8e+007
500,9.8,inf,7.5e+007
