Vertex,Time
5,0
6,0
7,0
8,0
9,1e+006
10,0
11,0
12,2e+006
13,0
14,0
15,0
16,3e+006
17,2e+006
18,1e+006
19,1e+006
20,2e+006
21,1e+006
22,2e+006
23,1e+006
24,0
25,0
26,7e+006
27,2e+006
28,2e+006
29,3e+006
30,3e+006
31,2e+006
32,3e+006
33,3e+006
34,3e+006
35,3e+006
36,3e+006
37,2e+006
38,0
39,4e+006
40,3e+006
41,5e+006
42,6e+006
43,0
44,6e+006
45,6e+006
46,5e+006
47,7e+006
48,3e+006
49,9e+006
50,7e+006
51,1e+007
52,7e+006
53,9e+006
54,1e+007
55,3e+006
56,8e+006
57,1.4e+007
58,1.5e+007
59,9e+006
60,1.4e+007
61,1.7e+007
62,1.9e+007
63,1.6e+007
64,1.6e+007
65,1.8e+007
66,1.2e+007
67,5e+006
68,4.1e+007
69,3.5e+007
70,2e+007
71,3e+007
72,2.9e+007
73,2.8e+007
74,3e+007
75,3.5e+007
76,3.9e+007
77,4.4e+007
78,3.8e+007
79,3.2e+007
80,3.8e+007
81,4.9e+007
82,5.4e+007
83,4.6e+007
84,5.3e+007
85,6.4e+007
86,5.1e+007
87,4.9e+007
88,8.3e+007
89,7.8e+007
90,5.7e+007
91,5e+007
92,6.8e+007
93,1.47e+008
94,8e+007
95,1.01e+008
96,8.4e+007
97,1.09e+008
98,1.1e+008
99,1.22e+008
100,1.64e+008
