Size,Case,Time
5,Worst,25000
5,Average,13000
10,Worst,67000
10,Average,35000
15,Worst,73000
15,Average,30000
20,Worst,12000
20,Average,45000
25,Worst,162000
25,Average,82000
30,Worst,64000
30,Average,75000
35,Worst,213000
35,Average,96000
40,Worst,300000
40,Average,95000
45,Worst,267000
45,Average,112000
50,Worst,287000
50,Average,111000
55,Worst,357000
55,Average,126000
60,Worst,230000
60,Average,140000
65,Worst,83000
65,Average,148000
70,Worst,350000
70,Average,163000
75,Worst,338000
75,Average,153000
80,Worst,391000
80,Average,170000
85,Worst,422000
85,Average,181000
90,Worst,357000
90,Average,194000
95,Worst,249000
95,Average,198000
100,Worst,475000
100,Average,247000
105,Worst,206000
105,Average,196000
110,Worst,98000
110,Average,210000
115,Worst,352000
115,Average,212000
120,Worst,262000
120,Average,232000
125,Worst,616000
125,Average,233000
130,Worst,377000
130,Average,229000
135,Worst,829000
135,Average,252000
140,Worst,288000
140,Average,208000
145,Worst,861000
145,Average,246000
150,Worst,397000
150,Average,289000
155,Worst,116000
155,Average,273000
160,Worst,88000
160,Average,256000
165,Worst,65000
165,Average,276000
170,Worst,979000
170,Average,325000
175,Worst,188000
175,Average,271000
180,Worst,843000
180,Average,316000
185,Worst,14000
185,Average,296000
190,Worst,1.124e+006
190,Average,308000
195,Worst,170000
195,Average,305000
200,Worst,935000
200,Average,320000
205,Worst,416000
205,Average,304000
210,Worst,167000
210,Average,313000
215,Worst,427000
215,Average,332000
220,Worst,498000
220,Average,339000
225,Worst,1.178e+006
225,Average,374000
230,Worst,1.029e+006
230,Average,355000
235,Worst,958000
235,Average,334000
240,Worst,79000
240,Average,327000
245,Worst,548000
245,Average,388000
250,Worst,1.596e+006
250,Average,332000
255,Worst,155000
255,Average,336000
260,Worst,24000
260,Average,366000
265,Worst,1.577e+006
265,Average,343000
270,Worst,22000
270,Average,382000
275,Worst,1.667e+006
275,Average,310000
280,Worst,340000
280,Average,396000
285,Worst,504000
285,Average,415000
290,Worst,1.74e+006
290,Average,296000
295,Worst,1.291e+006
295,Average,381000
300,Worst,105000
300,Average,360000
305,Worst,1.833e+006
305,Average,365000
310,Worst,232000
310,Average,407000
315,Worst,345000
315,Average,370000
320,Worst,1.686e+006
320,Average,380000
325,Worst,72000
325,Average,371000
330,Worst,377000
330,Average,441000
335,Worst,296000
335,Average,418000
340,Worst,937000
340,Average,416000
345,Worst,357000
345,Average,414000
350,Worst,1.263e+006
350,Average,416000
355,Worst,294000
355,Average,398000
360,Worst,222000
360,Average,410000
365,Worst,104000
365,Average,358000
370,Worst,376000
370,Average,457000
375,Worst,418000
375,Average,362000
380,Worst,967000
380,Average,435000
385,Worst,1.061e+006
385,Average,389000
390,Worst,136000
390,Average,444000
395,Worst,1.386e+006
395,Average,348000
400,Worst,130000
400,Average,404000
405,Worst,2.265e+006
405,Average,383000
410,Worst,43000
410,Average,363000
415,Worst,2.37e+006
415,Average,434000
420,Worst,201000
420,Average,413000
425,Worst,323000
425,Average,566000
430,Worst,383000
430,Average,532000
435,Worst,389000
435,Average,502000
440,Worst,1.228e+006
440,Average,502000
445,Worst,409000
445,Average,444000
450,Worst,147000
450,Average,538000
455,Worst,1.451e+006
455,Average,509000
460,Worst,409000
460,Average,493000
465,Worst,1.254e+006
465,Average,469000
470,Worst,162000
470,Average,501000
475,Worst,515000
475,Average,483000
480,Worst,369000
480,Average,480000
485,Worst,473000
485,Average,508000
490,Worst,119000
490,Average,476000
495,Worst,629000
495,Average,544000
500,Worst,29000
500,Average,531000
