ArraySize,Missing,Time
9,-1,3.7e+006
19,407,700000
29,16,3.6e+006
39,292,600000
49,390,5.2e+006
59,926,1.32e+007
69,95,6.3e+006
79,717,1.39e+007
89,258,1.74e+007
99,1013,2.11e+007
109,964,2.4e+006
119,138,1.85e+007
129,539,1.41e+007
139,133,1.8e+007
149,374,1.42e+007
159,168,1.08e+007
169,923,2.18e+007
179,567,1.76e+007
189,841,1.91e+007
199,1035,2.74e+007
209,392,1.69e+007
219,133,1.38e+007
229,156,1.56e+007
239,532,2.07e+007
249,976,3.73e+007
259,1038,1.73e+007
269,191,600000
279,241,4.4e+007
289,1140,2.95e+007
299,799,1.58e+007
309,772,4.34e+007
319,934,3.35e+007
329,381,6.43e+007
339,243,2.31e+007
349,580,4.36e+007
359,547,6.61e+007
369,1286,7.09e+007
379,1025,5.11e+007
389,122,1.01e+007
399,981,4e+007
409,369,4.27e+007
419,878,6.9e+006
429,255,1.79e+007
439,823,7.63e+007
449,579,3.13e+007
459,928,6.94e+007
469,41,3.9e+006
479,1277,8.37e+007
489,1151,7.33e+007
499,623,4.67e+007
