ArraySize	RecursiveSum	RecursiveTime(ns)	IterativeSum	IterativeTime(ns)
5		1019		1e+006		1019		0
10		1474		2e+006		1474		2e+006
15		1958		2e+006		1958		2e+006
20		3417		4e+006		3417		3e+006
25		4025		4e+006		4025		4e+006
30		4215		5e+006		4215		5e+006
35		5303		5e+006		5303		5e+006
40		6666		8e+006		6666		6e+006
45		7702		1e+007		7702		7e+006
50		8361		1e+007		8361		8e+006
55		9051		1.3e+007		9051		9e+006
60		10089		1.3e+007		10089		1.1e+007
65		11348		1.4e+007		11348		8e+006
70		10658		3.6e+007		10658		1.2e+007
75		12672		1.7e+007		12672		9e+006
80		13248		1.6e+007		13248		1.1e+007
85		15625		1.8e+007		15625		1.1e+007
90		15750		1.9e+007		15750		1.3e+007
95		15647		2e+007		15647		1.3e+007
100		16714		2.7e+007		16714		1.4e+007
