Size,Time
10,8.4e+007
15,1.37e+008
20,6.9e+007
25,6.5e+007
30,6.9e+007
35,5.2e+007
40,6.2e+007
45,8.5e+007
50,7.9e+007
55,8.2e+007
60,6.3e+007
65,6.2e+007
70,6.1e+007
75,7.3e+007
80,5.8e+007
85,6.6e+007
90,6e+007
95,6.2e+007
100,7.3e+007
105,1.25e+008
110,6.5e+007
115,7.6e+007
120,6.9e+007
125,7.9e+007
130,7.2e+007
135,6.5e+007
140,8.2e+007
145,5.7e+007
150,6.4e+007
155,6.1e+007
160,8.9e+007
165,7.3e+007
170,6.8e+007
175,7.6e+007
180,7.2e+007
185,8.1e+007
190,6.7e+007
195,8.2e+007
200,6.8e+007
205,6.8e+007
210,6.7e+007
215,6.1e+007
220,8.2e+007
225,7.5e+007
230,6.8e+007
235,6.1e+007
240,1.02e+008
245,6.3e+007
250,8.2e+007
255,7.6e+007
260,7.3e+007
265,6.5e+007
270,6e+007
275,6e+007
280,7.1e+007
285,7.1e+007
290,8.2e+007
295,7.3e+007
300,7.3e+007
305,7.1e+007
310,8e+007
315,6.6e+007
320,6.2e+007
325,8.5e+007
330,6.3e+007
335,6.1e+007
340,6.9e+007
345,6.3e+007
350,5.9e+007
355,1.01e+008
360,6.2e+007
365,6.1e+007
370,6.5e+007
375,6e+007
380,7.9e+007
385,5.9e+007
390,7.7e+007
395,6.1e+007
400,5.9e+007
405,6.1e+007
410,8e+007
415,6e+007
420,8.4e+007
425,7.1e+007
430,1e+008
435,6.3e+007
440,6.8e+007
445,1.27e+008
450,5e+007
455,6.8e+007
460,7.7e+007
465,6.3e+007
470,4.5e+007
475,5.7e+007
480,6.3e+007
485,5.7e+007
490,6e+007
495,6e+007
500,5.8e+007
