Size	Result	Time
10	92	8.4e+007
15	-1	1.37e+008
20	7	6.9e+007
25	18	6.5e+007
30	71	6.9e+007
35	4	5.2e+007
40	37	6.2e+007
45	86	8.5e+007
50	70	7.9e+007
55	67	8.2e+007
60	53	6.3e+007
65	21	6.2e+007
70	94	6.1e+007
75	97	7.3e+007
80	69	5.8e+007
85	79	6.6e+007
90	17	6e+007
95	3	6.2e+007
100	8	7.3e+007
105	32	1.25e+008
110	43	6.5e+007
115	10	7.6e+007
120	68	6.9e+007
125	44	7.9e+007
130	90	7.2e+007
135	60	6.5e+007
140	81	8.2e+007
145	25	5.7e+007
150	58	6.4e+007
155	33	6.1e+007
160	82	8.9e+007
165	51	7.3e+007
170	41	6.8e+007
175	63	7.6e+007
180	62	7.2e+007
185	60	8.1e+007
190	28	6.7e+007
195	39	8.2e+007
200	62	6.8e+007
205	81	6.8e+007
210	88	6.7e+007
215	76	6.1e+007
220	11	8.2e+007
225	69	7.5e+007
230	65	6.8e+007
235	21	6.1e+007
240	23	1.02e+008
245	15	6.3e+007
250	80	8.2e+007
255	22	7.6e+007
260	52	7.3e+007
265	20	6.5e+007
270	100	6e+007
275	77	6e+007
280	65	7.1e+007
285	28	7.1e+007
290	4	8.2e+007
295	62	7.3e+007
300	27	7.3e+007
305	85	7.1e+007
310	27	8e+007
315	99	6.6e+007
320	41	6.2e+007
325	40	8.5e+007
330	8	6.3e+007
335	42	6.1e+007
340	85	6.9e+007
345	58	6.3e+007
350	40	5.9e+007
355	47	1.01e+008
360	99	6.2e+007
365	78	6.1e+007
370	16	6.5e+007
375	78	6e+007
380	8	7.9e+007
385	5	5.9e+007
390	59	7.7e+007
395	53	6.1e+007
400	50	5.9e+007
405	23	6.1e+007
410	54	8e+007
415	85	6e+007
420	70	8.4e+007
425	62	7.1e+007
430	96	1e+008
435	91	6.3e+007
440	47	6.8e+007
445	82	1.27e+008
450	95	5e+007
455	60	6.8e+007
460	64	7.7e+007
465	66	6.3e+007
470	53	4.5e+007
475	50	5.7e+007
480	68	6.3e+007
485	49	5.7e+007
490	67	6e+007
495	95	6e+007
500	3	5.8e+007
