N	Time (ns)
10	3.1e+007
20	3.4e+007
30	2.6e+007
40	4.1e+007
50	3.3e+007
60	3.8e+007
70	5e+007
80	3.4e+007
90	2.7e+007
100	4.1e+007
110	4e+007
120	3.4e+007
130	4e+007
140	3.3e+007
150	4.1e+007
160	4.7e+007
170	6e+006
180	4.7e+007
190	3e+007
200	4.7e+007
210	2.8e+007
220	5e+007
230	3.3e+007
240	4.7e+007
250	4.5e+007
260	8.1e+007
270	4.8e+007
280	3.2e+007
290	5.9e+007
300	4.1e+007
310	3.7e+007
320	3.9e+007
330	4.1e+007
340	4.2e+007
350	4e+007
360	2.4e+007
370	5.3e+007
380	5.5e+007
390	4.2e+007
400	4.9e+007
410	4.2e+007
420	5.3e+007
430	6.5e+007
440	4.4e+007
450	4.8e+007
460	4.9e+007
470	4.6e+007
480	4.8e+007
490	6e+007
500	4.8e+007
