N,Time
5,0
10,0
15,0
20,0
25,0
30,0
35,5e+006
40,1e+006
45,2e+006
50,3e+006
55,3e+006
60,2e+006
65,0
70,0
75,3e+006
80,4e+006
85,8e+006
90,0
95,5e+006
100,3e+006
105,0
110,6e+006
115,8e+006
120,7e+006
125,6e+006
130,6e+006
135,1.7e+007
140,1.6e+007
145,9e+006
150,8e+006
155,9e+006
160,5e+006
165,3e+006
170,1.2e+007
175,9e+006
180,4e+006
185,9e+006
190,1.2e+007
195,1.1e+007
200,8e+006
205,1.5e+007
210,1.5e+007
215,1.4e+007
220,9e+006
225,1.1e+007
230,1e+007
235,9e+006
240,1.2e+007
245,1.6e+007
250,1.6e+007
255,1.3e+007
260,1.4e+007
265,1.3e+007
270,1.8e+007
275,1.5e+007
280,1.3e+007
285,1.7e+007
290,1.2e+007
295,7e+006
300,1.8e+007
305,6e+006
310,2.5e+007
315,2.2e+007
320,1.7e+007
325,1.7e+007
330,1.4e+007
335,2.6e+007
340,2.6e+007
345,2.1e+007
350,1.6e+007
355,1.7e+007
360,2.2e+007
365,2.1e+007
370,1.9e+007
375,2.4e+007
380,2.3e+007
385,1.6e+007
390,3.2e+007
395,2.1e+007
400,2.2e+007
405,1.6e+007
410,2.4e+007
415,3e+007
420,2.5e+007
425,6.5e+007
430,2.7e+007
435,3e+007
440,2.3e+007
445,2.8e+007
450,2.8e+007
455,2.8e+007
460,2.4e+007
465,2.5e+007
470,2.8e+007
475,2.2e+007
480,2.9e+007
485,3.3e+007
490,3.3e+007
495,3.7e+007
500,4.1e+007
505,3.2e+007
510,2.5e+007
515,3.7e+007
520,6.2e+007
525,5.8e+007
530,5.7e+007
535,5.8e+007
540,5.7e+007
545,5.8e+007
550,1.13e+008
555,6.2e+007
560,6.3e+007
565,6.1e+007
570,6.8e+007
575,7.3e+007
580,6.5e+007
585,6.3e+007
590,6.6e+007
595,7.2e+007
600,7.7e+007
605,6.8e+007
610,1.27e+008
615,8.3e+007
620,7.1e+007
625,7.6e+007
630,7e+007
635,7.4e+007
640,6.7e+007
645,7.8e+007
650,8e+007
655,7.9e+007
660,1.14e+008
665,1.01e+008
670,8.7e+007
675,8.9e+007
680,1e+008
685,8.6e+007
690,9.6e+007
695,8.4e+007
700,9.5e+007
705,9.1e+007
710,9.1e+007
715,9.1e+007
720,9.2e+007
725,1.06e+008
730,1e+008
735,9.2e+007
740,1.09e+008
745,1.17e+008
750,1.05e+008
755,1.09e+008
760,1.02e+008
765,9.4e+007
770,1.11e+008
775,9.8e+007
780,1.04e+008
785,1.07e+008
790,1.11e+008
795,1.12e+008
800,1.05e+008
805,1.16e+008
810,1.09e+008
815,1.11e+008
820,1.1e+008
825,1.21e+008
830,1.19e+008
835,1.17e+008
840,1.25e+008
845,1.22e+008
850,1.27e+008
855,1.32e+008
860,1.32e+008
865,1.34e+008
870,1.24e+008
875,1.35e+008
880,1.26e+008
885,1.45e+008
890,1.63e+008
895,1.46e+008
900,1.45e+008
905,1.4e+008
910,1.31e+008
915,1.46e+008
920,1.34e+008
925,1.4e+008
930,1.56e+008
935,1.49e+008
940,1.41e+008
945,1.85e+008
950,1.5e+008
955,1.48e+008
960,1.85e+008
965,1.4e+008
970,1.58e+008
975,1.58e+008
980,1.67e+008
985,1.6e+008
990,1.66e+008
995,1.65e+008
1000,1.59e+008
