Size	Execution Time(ns)
5	0
10	0
15	2e+006
20	6e+006
25	4e+006
30	0
35	0
40	2e+006
45	4e+006
50	1e+006
55	0
60	2e+006
65	2e+006
70	2e+006
75	2e+006
80	0
85	0
90	2e+006
95	5e+006
100	0
105	3e+006
110	0
115	4e+006
120	4e+006
125	0
130	3e+006
135	0
140	2e+006
145	4e+006
150	8e+006
155	5e+006
160	1e+007
165	6e+006
170	2e+006
175	0
180	7e+006
185	2e+006
190	7e+006
195	0
200	0
205	6e+006
210	6e+006
215	4e+006
220	5e+006
225	2e+006
230	7e+006
235	1e+007
240	9e+006
245	9e+006
250	1.1e+007
255	3e+006
260	8e+006
265	1.1e+007
270	8e+006
275	9e+006
280	7e+006
285	8e+006
290	1.2e+007
295	7e+006
300	6e+006
305	7e+006
310	8e+006
315	8e+006
320	1.5e+007
325	1e+007
330	9e+006
335	5e+006
340	1e+007
345	9e+006
350	6e+006
355	4e+006
360	1.4e+007
365	9e+006
370	8e+006
375	1.6e+007
380	6e+006
385	1.4e+007
390	5.4e+007
395	1.4e+007
400	1.7e+007
405	1.1e+007
410	1.7e+007
415	1.7e+007
420	1.3e+007
425	1e+007
430	1.2e+007
435	1.6e+007
440	2e+007
445	1.1e+007
450	1.7e+007
455	1.4e+007
460	6e+006
465	1e+007
470	1.6e+007
475	1.1e+007
480	1.6e+007
485	8e+006
490	1.5e+007
495	1.9e+007
500	1.4e+007
505	1.9e+007
510	1.7e+007
515	1.6e+007
520	1e+007
525	1.6e+007
530	1.9e+007
535	1.9e+007
540	1.9e+007
545	5.3e+007
550	1.6e+007
555	1.9e+007
560	1.7e+007
565	1.7e+007
570	2.4e+007
575	1.6e+007
580	1.7e+007
585	1.8e+007
590	1.6e+007
595	2e+007
600	1.8e+007
605	1.5e+007
610	2e+007
615	2.1e+007
620	1.7e+007
625	1.6e+007
630	1.7e+007
635	1.6e+007
640	1.7e+007
645	1.4e+007
650	1.3e+007
655	1.6e+007
660	1.5e+007
665	1.6e+007
670	2.5e+007
675	1.9e+007
680	2e+007
685	3e+007
690	2.3e+007
695	2.4e+007
700	2.6e+007
705	2.5e+007
710	1.6e+007
715	2.8e+007
720	2e+007
725	2.2e+007
730	2.4e+007
735	2.7e+007
740	2.4e+007
745	2.5e+007
750	2.3e+007
755	2.4e+007
760	2.9e+007
765	2.7e+007
770	1.7e+007
775	3.3e+007
780	2.7e+007
785	2.7e+007
790	2.9e+007
795	3.5e+007
800	2.6e+007
805	3.2e+007
810	3.4e+007
815	2e+007
820	2.9e+007
825	2.9e+007
830	3.8e+007
835	3.7e+007
840	2.8e+007
845	3.8e+007
850	3.4e+007
855	7e+007
860	3.1e+007
865	3.3e+007
870	3.3e+007
875	2.7e+007
880	1.8e+007
885	2.7e+007
890	3.2e+007
895	4.1e+007
900	3.1e+007
905	3.2e+007
910	2.8e+007
915	4.1e+007
920	3e+007
925	4.5e+007
930	2.9e+007
935	3e+007
940	7.6e+007
945	4e+007
950	4.1e+007
955	2.6e+007
960	3.2e+007
965	3.3e+007
970	2.9e+007
975	3.7e+007
980	8e+007
985	2.4e+007
990	3.4e+007
995	2.7e+007
1000	3.3e+007
