Points,Time
10,5e+006
20,8e+006
30,8e+006
40,1.7e+007
50,1.6e+007
60,1.6e+007
70,2.5e+007
80,3.3e+007
90,3.2e+007
100,5e+007
110,4.8e+007
120,7.4e+007
130,8.2e+007
140,4.9e+007
150,7.1e+007
160,6.4e+007
170,9.9e+007
180,8.3e+007
190,5.6e+007
200,7.9e+007
210,1.13e+008
220,9.4e+007
230,1.24e+008
240,1.1e+008
250,1.24e+008
260,9.8e+007
270,1.55e+008
280,9e+007
290,1.06e+008
300,8.6e+007
310,1.77e+008
320,1.91e+008
330,1.26e+008
340,1.73e+008
350,1.48e+008
360,1.57e+008
370,1.56e+008
380,2.46e+008
390,1.66e+008
400,1.86e+008
410,1.47e+008
420,1.51e+008
430,1.58e+008
440,1.82e+008
450,1.24e+008
460,1.99e+008
470,1.69e+008
480,2.95e+008
490,1.89e+008
500,2.84e+008
