Vertices,Time
10,0
20,0
30,1.4e+007
40,1.6e+007
50,1.9e+007
60,2.8e+007
70,4.3e+007
80,5e+007
90,1.02e+008
100,1.14e+008
110,1.5e+008
120,1.69e+008
130,2.7e+008
140,2.43e+008
150,3.7e+008
160,3.99e+008
170,3.97e+008
180,5.31e+008
190,4.96e+008
200,6.01e+008
210,5.98e+008
220,7.12e+008
230,7e+008
240,7.64e+008
250,8.93e+008
260,8.91e+008
270,9.02e+008
280,9.28e+008
290,1.003e+009
300,1.043e+009
310,1.114e+009
320,1.159e+009
330,1.285e+009
340,1.298e+009
350,1.95e+008
360,2.33e+008
370,3.65e+008
380,2.27e+008
390,2.47e+008
400,3.77e+008
410,5.31e+008
420,5.31e+008
430,5.16e+008
440,7.32e+008
450,9.39e+008
460,1.228e+009
470,1.042e+009
480,1.322e+009
490,1.52e+009
500,1.662e+009
