Vertices	Distance	Time(ns)
10	91	0
20	144	0
30	231	1.4e+007
40	206	1.6e+007
50	292	1.9e+007
60	331	2.8e+007
70	298	4.3e+007
80	324	5e+007
90	342	1.02e+008
100	350	1.14e+008
110	381	1.5e+008
120	418	1.69e+008
130	518	2.7e+008
140	510	2.43e+008
150	515	3.7e+008
160	497	3.99e+008
170	537	3.97e+008
180	626	5.31e+008
190	585	4.96e+008
200	705	6.01e+008
210	692	5.98e+008
220	697	7.12e+008
230	740	7e+008
240	742	7.64e+008
250	802	8.93e+008
260	817	8.91e+008
270	797	9.02e+008
280	840	9.28e+008
290	930	1.003e+009
300	893	1.043e+009
310	937	1.114e+009
320	874	1.159e+009
330	925	1.285e+009
340	944	1.298e+009
350	1086	1.95e+008
360	1012	2.33e+008
370	1260	3.65e+008
380	1138	2.27e+008
390	1177	2.47e+008
400	1247	3.77e+008
410	1314	5.31e+008
420	1383	5.31e+008
430	1371	5.16e+008
440	1423	7.32e+008
450	1365	9.39e+008
460	1335	1.228e+009
470	1586	1.042e+009
480	1484	1.322e+009
490	1481	1.52e+009
500	1361	1.662e+009
