Vertex	MinimunCost	Execution Time(ns)
5	6684424	0
6	6684424	0
7	6684424	0
8	6684424	0
9	6684424	1e+006
10	6684424	0
11	6684424	0
12	6684424	2e+006
13	6684424	0
14	6684424	0
15	6684424	0
16	6684424	3e+006
17	6684424	2e+006
18	6684424	1e+006
19	6684424	1e+006
20	6684424	2e+006
21	6684424	1e+006
22	6684424	2e+006
23	6684424	1e+006
24	6684424	0
25	6684424	0
26	6684424	7e+006
27	6684424	2e+006
28	6684424	2e+006
29	6684424	3e+006
30	6684424	3e+006
31	6684424	2e+006
32	6684424	3e+006
33	6684424	3e+006
34	6684424	3e+006
35	6684424	3e+006
36	6684424	3e+006
37	6684424	2e+006
38	6684424	0
39	6684424	4e+006
40	6684424	3e+006
41	6684424	5e+006
42	6684424	6e+006
43	6684424	0
44	6684424	6e+006
45	6684424	6e+006
46	6684424	5e+006
47	6684424	7e+006
48	6684424	3e+006
49	6684424	9e+006
50	6684424	7e+006
51	6684424	1e+007
52	6684424	7e+006
53	6684424	9e+006
54	6684424	1e+007
55	6684424	3e+006
56	6684424	8e+006
57	6684424	1.4e+007
58	6684424	1.5e+007
59	6684424	9e+006
60	6684424	1.4e+007
61	6684424	1.7e+007
62	6684424	1.9e+007
63	6684424	1.6e+007
64	6684424	1.6e+007
65	6684424	1.8e+007
66	6684424	1.2e+007
67	6684424	5e+006
68	6684424	4.1e+007
69	6684424	3.5e+007
70	6684424	2e+007
71	6684424	3e+007
72	6684424	2.9e+007
73	6684424	2.8e+007
74	6684424	3e+007
75	6684424	3.5e+007
76	6684424	3.9e+007
77	6684424	4.4e+007
78	6684424	3.8e+007
79	6684424	3.2e+007
80	6684424	3.8e+007
81	6684424	4.9e+007
82	6684424	5.4e+007
83	6684424	4.6e+007
84	6684424	5.3e+007
85	6684424	6.4e+007
86	6684424	5.1e+007
87	6684424	4.9e+007
88	6684424	8.3e+007
89	6684424	7.8e+007
90	6684424	5.7e+007
91	6684424	5e+007
92	6684424	6.8e+007
93	6684424	1.47e+008
94	6684424	8e+007
95	6684424	1.01e+008
96	6684424	8.4e+007
97	6684424	1.09e+008
98	6684424	1.1e+008
99	6684424	1.22e+008
100	6684424	1.64e+008
