Vertex,Time
5,0
7,0
9,0
11,0
13,5e+006
15,1e+006
17,2e+006
19,1e+006
21,2e+006
23,2e+006
25,3e+006
27,2e+006
29,4e+006
31,3e+006
33,2e+006
35,0
37,5e+006
39,5e+006
41,5e+006
43,8e+006
45,7e+006
47,7e+006
49,9e+006
51,3e+006
53,7e+006
55,1.2e+007
57,1.5e+007
59,1.7e+007
61,1.3e+007
63,1.6e+007
65,1.5e+007
67,1.7e+007
69,5e+006
71,1.9e+007
73,1.9e+007
75,2.5e+007
77,2.2e+007
79,2.3e+007
81,2.1e+007
83,2.6e+007
85,2.7e+007
87,3.2e+007
89,2.2e+007
91,2.2e+007
93,4e+007
95,4.3e+007
97,3.8e+007
99,3.4e+007
