Vertex	Execution Time(ns)
5	12	0
7	13	0
9	38	0
11	26	0
13	42	5e+006
15	32	1e+006
17	31	2e+006
19	30	1e+006
21	41	2e+006
23	52	2e+006
25	42	3e+006
27	47	2e+006
29	48	4e+006
31	46	3e+006
33	43	2e+006
35	46	0
37	60	5e+006
39	53	5e+006
41	58	5e+006
43	54	8e+006
45	66	7e+006
47	63	7e+006
49	72	9e+006
51	56	3e+006
53	65	7e+006
55	64	1.2e+007
57	66	1.5e+007
59	74	1.7e+007
61	72	1.3e+007
63	72	1.6e+007
65	71	1.5e+007
67	76	1.7e+007
69	83	5e+006
71	94	1.9e+007
73	81	1.9e+007
75	81	2.5e+007
77	82	2.2e+007
79	93	2.3e+007
81	88	2.1e+007
83	86	2.6e+007
85	95	2.7e+007
87	96	3.2e+007
89	91	2.2e+007
91	98	2.2e+007
93	96	4e+007
95	103	4.3e+007
97	104	3.8e+007
99	104	3.4e+007
