Size      k         kth Element         Time(sec)
     5         4         43                  0              
10        5         43                  0              
15        15        98                  5e+006         
20        20        96                  6e+006         
25        14        61                  0              
30        21        76                  5e+006         
35        17        43                  9e+006         
40        7         11                  2.8e+007       
45        11        16                  1.4e+007       
50        37        76                  8e+006         
55        46        80                  0              
60        55        85                  5e+006         
65        26        41                  8e+006         
70        47        73                  4e+006         
75        16        24                  8e+006         
80        20        32                  8e+006         
85        7         10                  1e+007         
90        84        88                  9e+006         
95        57        57                  8e+006         
100       94        93                  9e+006         
