N,Time
5,0
10,0
15,1e+006
20,4e+006
25,3e+006
30,0
35,0
40,4e+006
45,0
50,5e+006
55,1e+007
60,6e+006
65,0
70,3e+006
75,6e+006
80,7e+006
85,1.1e+007
90,1e+007
95,4e+006
100,1e+007
105,1e+007
110,0
115,1.1e+007
120,1e+006
125,9e+006
130,3e+006
135,1e+007
140,1e+006
145,7e+006
150,1e+007
155,1.1e+007
160,9e+006
165,1.3e+007
170,1.4e+007
175,1.6e+007
180,9e+006
185,1.1e+007
190,1.1e+007
195,1.7e+007
200,1.6e+007
205,1.7e+007
210,8e+006
215,9e+006
220,1.7e+007
225,1.9e+007
230,1.2e+007
235,1.4e+007
240,1.7e+007
245,1.9e+007
250,1.8e+007
255,1.3e+007
260,2.4e+007
265,2.1e+007
270,2e+007
275,2.5e+007
280,8e+006
285,1.5e+007
290,1.9e+007
295,1.8e+007
300,1.8e+007
305,2e+007
310,1.4e+007
315,1.9e+007
320,2e+007
325,3.3e+007
330,2.5e+007
335,2.3e+007
340,2e+007
345,3e+007
350,2.3e+007
355,2.7e+007
360,3.3e+007
365,3.3e+007
370,3.2e+007
375,3.1e+007
380,2.9e+007
385,2.7e+007
390,3.3e+007
395,3.1e+007
400,2.7e+007
405,2.5e+007
410,3.3e+007
415,2.7e+007
420,3.2e+007
425,3.9e+007
430,4.1e+007
435,2.6e+007
440,3.3e+007
445,3.2e+007
450,2.5e+007
455,2.2e+007
460,2.8e+007
465,3.3e+007
470,3.2e+007
475,3e+007
480,2.3e+007
485,3.3e+007
490,4.1e+007
495,3.1e+007
500,3.2e+007
505,3.6e+007
510,3.5e+007
515,5.6e+007
520,5.4e+007
525,5.2e+007
530,6e+007
535,6.5e+007
540,6e+007
545,6.6e+007
550,6.2e+007
555,5.5e+007
560,7e+007
565,5.8e+007
570,7.2e+007
575,6.9e+007
580,6.9e+007
585,6.4e+007
590,1.23e+008
595,8.3e+007
600,6.6e+007
605,6.5e+007
610,7.5e+007
615,8.9e+007
620,7.4e+007
625,7.3e+007
630,7.3e+007
635,8e+007
640,9.9e+007
645,8.1e+007
650,7.3e+007
655,8.1e+007
660,1.32e+008
665,8e+007
670,8.2e+007
675,7.7e+007
680,8.5e+007
685,8.1e+007
690,8.7e+007
695,8.6e+007
700,9e+007
705,9.4e+007
710,9.3e+007
715,9e+007
720,9.8e+007
725,9e+007
730,9.5e+007
735,1.01e+008
740,1.01e+008
745,1.03e+008
750,1.04e+008
755,9.7e+007
760,1.06e+008
765,1.18e+008
770,1.15e+008
775,1.06e+008
780,1.12e+008
785,1.06e+008
790,9.9e+007
795,1.1e+008
800,1.07e+008
805,1.04e+008
810,1.04e+008
815,1.04e+008
820,1.04e+008
825,1.06e+008
830,1.01e+008
835,1.02e+008
840,9.7e+007
845,1.1e+008
850,1.05e+008
855,1.06e+008
860,1.07e+008
865,1.03e+008
870,1.07e+008
875,1.12e+008
880,1.03e+008
885,9.6e+007
890,1.08e+008
895,1.08e+008
900,1.11e+008
905,1.06e+008
910,1.04e+008
915,1.02e+008
920,1.02e+008
925,1.05e+008
930,1.12e+008
935,1.62e+008
940,9.8e+007
945,1.08e+008
950,1.02e+008
955,1.24e+008
960,9.7e+007
965,9.8e+007
970,1.07e+008
975,1.07e+008
980,1.04e+008
985,1.09e+008
990,1.55e+008
995,1.06e+008
1000,1.09e+008
