Size      k         kth Element         Time(sec)
     5         2         21                  0              
10        1         22                  0              
15        12        58                  5e+006         
20        19        97                  4e+006         
25        12        43                  4e+006         
30        17        54                  0              
35        25        80                  6e+006         
40        25        70                  1e+007         
45        35        81                  8e+006         
50        14        20                  8e+006         
55        50        91                  1e+006         
60        49        89                  7e+006         
65        42        61                  1e+006         
70        27        47                  4e+006         
75        40        36                  9e+006         
80        7         12                  9e+006         
85        48        54                  6e+006         
90        76        82                  8e+006         
95        45        47                  0              
100       45        55                  1e+007         
105       72        67                  8e+006         
110       40        35                  1e+007         
115       46        37                  6e+006         
120       84        66                  1e+006         
125       16        12                  1.7e+007       
130       74        60                  9e+006         
135       102       76                  1.1e+007       
140       84        64                  1.2e+007       
145       133       92                  9e+006         
150       38        23                  1.4e+007       
155       98        61                  1e+007         
160       45        37                  1.5e+007       
165       138       83                  7e+006         
170       10        10                  2.6e+007       
175       148       77                  1.7e+007       
180       177       99                  1.3e+007       
185       163       84                  1.3e+007       
190       13        9                   1.3e+007       
195       56        29                  1.4e+007       
200       33        17                  1.2e+007       
205       196       93                  1.5e+007       
210       192       91                  1.8e+007       
215       67        31                  1.7e+007       
220       76        38                  1.6e+007       
225       158       70                  2.5e+007       
230       131       58                  2.4e+007       
235       178       77                  3.3e+007       
240       102       46                  3.2e+007       
245       19        6                   3.8e+007       
250       86        31                  3e+007         
255       239       96                  2.2e+007       
260       188       72                  2.6e+007       
265       130       49                  2.2e+007       
270       83        29                  2.2e+007       
275       190       64                  3.2e+007       
280       171       60                  3.5e+007       
285       233       82                  2.7e+007       
290       254       90                  1.3e+007       
295       1         1                   2.2e+007       
300       67        24                  2.4e+007       
305       78        23                  3e+007         
310       262       88                  3.3e+007       
315       87        25                  1.6e+007       
320       279       89                  2.7e+007       
325       55        18                  1.9e+007       
330       164       51                  2.4e+007       
335       309       91                  7.8e+007       
340       299       90                  1.7e+007       
345       250       72                  2.7e+007       
350       308       90                  3.2e+007       
355       115       32                  3.6e+007       
360       251       68                  4.1e+007       
365       352       97                  1.6e+007       
370       315       88                  3.8e+007       
375       59        17                  3.7e+007       
380       256       69                  3.2e+007       
385       179       45                  3.2e+007       
390       147       37                  3.9e+007       
395       114       28                  4.6e+007       
400       383       97                  2.6e+007       
405       274       71                  4.3e+007       
410       178       42                  4.8e+007       
415       351       84                  5.9e+007       
420       110       30                  1.4e+007       
425       313       76                  4.1e+007       
430       394       92                  1.3e+007       
435       258       59                  5.6e+007       
440       157       33                  2.9e+007       
445       219       50                  5.2e+007       
450       293       63                  3.4e+007       
455       83        17                  6.5e+007       
460       417       91                  3.5e+007       
465       101       20                  3.4e+007       
470       277       59                  6.3e+007       
475       79        18                  4.3e+007       
480       453       95                  4.2e+007       
485       234       53                  8.5e+007       
490       72        14                  6e+007         
495       290       58                  4.2e+007       
500       194       38                  4.9e+007       
505       298       60                  3.8e+007       
510       166       34                  5.7e+007       
515       427       84                  8.4e+007       
520       115       23                  6.1e+007       
525       127       24                  4.7e+007       
530       168       34                  5.3e+007       
535       5         2                   2.5e+007       
540       537       99                  2.1e+007       
545       11        3                   4.4e+007       
550       208       38                  7.3e+007       
555       461       85                  4.7e+007       
560       216       41                  4.9e+007       
565       26        5                   4e+007         
570       473       85                  9e+007         
575       429       75                  8.3e+007       
580       139       23                  6.5e+007       
585       442       71                  8.5e+007       
590       389       66                  6.4e+007       
595       68        12                  4.8e+007       
600       248       43                  5.3e+007       
605       101       17                  4e+007         
610       451       74                  3.8e+007       
615       391       63                  4.8e+007       
620       146       25                  6.6e+007       
625       575       93                  2.8e+007       
630       285       45                  5.8e+007       
635       392       62                  5.5e+007       
640       109       18                  5.7e+007       
645       293       45                  6.3e+007       
650       351       55                  5.2e+007       
655       170       28                  3.4e+007       
660       293       44                  5.7e+007       
665       142       22                  4.5e+007       
670       631       95                  2.2e+007       
675       675       100                 3.5e+007       
680       61        10                  6.1e+007       
685       663       97                  7.3e+007       
690       490       70                  6.6e+007       
695       316       45                  6.8e+007       
700       68        10                  2.6e+007       
705       647       92                  3.4e+007       
710       502       72                  6.4e+007       
715       566       81                  5e+007         
720       387       58                  6.3e+007       
725       556       75                  8.8e+007       
730       6         2                   5.5e+007       
735       212       27                  8.7e+007       
740       145       18                  7.2e+007       
745       410       55                  6.4e+007       
750       601       81                  7.9e+007       
755       52        6                   4.2e+007       
760       750       98                  8.1e+007       
765       545       72                  8.8e+007       
770       260       32                  9.1e+007       
775       227       27                  4.6e+007       
780       739       94                  3.8e+007       
785       725       93                  6.4e+007       
790       586       76                  7.6e+007       
795       81        10                  7.8e+007       
800       737       93                  2.3e+007       
805       225       28                  6.8e+007       
