Test	Base(x)	Exponent(n)	Result	Time(ns)
-------------------------------------------------------------
1	2	1	2	0
2	2	6	64	1.5e+007
3	2	11	2048	1e+007
4	2	16	65536	1.1e+007
5	2	21	2.09715e+006	3e+006
6	2	26	6.71089e+007	3e+006
7	2	31	2.14748e+009	6e+006
8	2	36	6.87195e+010	1.2e+007
9	2	41	2.19902e+012	5e+006
10	2	46	7.03687e+013	6e+006
11	2	51	2.2518e+015	4e+006
12	2	56	7.20576e+016	3e+006
13	2	61	2.30584e+018	1.2e+007
14	2	66	7.3787e+019	9e+006
15	2	71	2.36118e+021	9e+006
16	2	76	7.55579e+022	9e+006
17	2	81	2.41785e+024	2e+006
18	2	86	7.73713e+025	1.6e+007
19	2	91	2.47588e+027	1.3e+007
20	2	96	7.92282e+028	4e+006
21	2	101	2.5353e+030	4e+006
22	2	106	8.11296e+031	1.3e+007
23	2	111	2.59615e+033	1.4e+007
24	2	116	8.30767e+034	2e+007
25	2	121	2.65846e+036	2e+007
26	2	126	8.50706e+037	1.5e+007
27	2	131	2.72226e+039	1.1e+007
28	2	136	8.71123e+040	1.1e+007
29	2	141	2.78759e+042	4.8e+007
30	2	146	8.9203e+043	1e+007
31	2	151	2.8545e+045	8e+006
32	2	156	9.13439e+046	1e+007
33	2	161	2.923e+048	1.3e+007
34	2	166	9.35361e+049	2.3e+007
35	2	171	2.99316e+051	2.4e+007
36	2	176	9.5781e+052	1.2e+007
37	2	181	3.06499e+054	2e+007
38	2	186	9.80797e+055	2.3e+007
39	2	191	3.13855e+057	1.9e+007
40	2	196	1.00434e+059	1.7e+007
41	2	201	3.21388e+060	2.1e+007
42	2	206	1.02844e+062	1.7e+007
43	2	211	3.29101e+063	1.1e+007
44	2	216	1.05312e+065	5e+006
45	2	221	3.36999e+066	5e+006
46	2	226	1.0784e+068	1.5e+007
47	2	231	3.45087e+069	1.4e+007
48	2	236	1.10428e+071	8e+006
49	2	241	3.53369e+072	1.2e+007
50	2	246	1.13078e+074	1.1e+007
51	2	251	3.6185e+075	1.3e+007
52	2	256	1.15792e+077	1.5e+007
53	2	261	3.70535e+078	9e+006
54	2	266	1.18571e+080	1.6e+007
55	2	271	3.79428e+081	1.6e+007
56	2	276	1.21417e+083	2.1e+007
57	2	281	3.88534e+084	2.5e+007
58	2	286	1.24331e+086	1.3e+007
59	2	291	3.97859e+087	1.4e+007
60	2	296	1.27315e+089	1.2e+007
61	2	301	4.07407e+090	1.4e+007
62	2	306	1.3037e+092	1.4e+007
63	2	311	4.17185e+093	1.6e+007
64	2	316	1.33499e+095	1.4e+007
65	2	321	4.27197e+096	1.3e+007
66	2	326	1.36703e+098	1.7e+007
67	2	331	4.3745e+099	1.2e+007
68	2	336	1.39984e+101	1.2e+007
69	2	341	4.47949e+102	1.6e+007
70	2	346	1.43344e+104	3e+006
71	2	351	4.587e+105	1.3e+007
72	2	356	1.46784e+107	1.4e+007
73	2	361	4.69709e+108	1.9e+007
74	2	366	1.50307e+110	1.5e+007
75	2	371	4.80982e+111	1.7e+007
76	2	376	1.53914e+113	1.5e+007
77	2	381	4.92525e+114	1.7e+007
78	2	386	1.57608e+116	1.4e+007
79	2	391	5.04346e+117	1.7e+007
80	2	396	1.61391e+119	1e+007
81	2	401	5.1645e+120	9e+006
82	2	406	1.65264e+122	1.6e+007
83	2	411	5.28845e+123	1.5e+007
84	2	416	1.6923e+125	1e+007
85	2	421	5.41537e+126	1.2e+007
86	2	426	1.73292e+128	1.5e+007
87	2	431	5.54534e+129	1.7e+007
88	2	436	1.77451e+131	2.1e+007
89	2	441	5.67843e+132	2.4e+007
90	2	446	1.8171e+134	1.7e+007
91	2	451	5.81471e+135	1.6e+007
92	2	456	1.86071e+137	1.4e+007
93	2	461	5.95426e+138	1.1e+007
94	2	466	1.90536e+140	1.5e+007
95	2	471	6.09717e+141	1.4e+007
96	2	476	1.95109e+143	1.1e+007
97	2	481	6.2435e+144	8e+006
98	2	486	1.99792e+146	2.1e+007
99	2	491	6.39334e+147	1.5e+007
100	2	496	2.04587e+149	2.3e+007
